column,group,source,name,recipe,query,rows,selectivity,tier,chosen_plan,selective_ns,fused_ns,chosen_ns,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,file_bytes
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",SUM,1,0.00000763,memory_warm,selective_closure,2155.1,1533786.0,2155.1,329,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",SUM,1,0.00000763,buffered_hot,selective_closure,4080.8,1534397.0,4080.8,329,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",BETWEEN,1,0.00000763,memory_warm,selective_closure,2191.2,1549919.0,2191.2,329,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",BETWEEN,1,0.00000763,buffered_hot,selective_closure,4073.3,1554216.0,4073.3,329,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",SUM,131,0.00099945,memory_warm,selective_closure,3650.5,1536119.0,3650.5,362,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",SUM,131,0.00099945,buffered_hot,selective_closure,5564.9,1536399.0,5564.9,362,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",BETWEEN,131,0.00099945,memory_warm,selective_closure,3817.6,1551432.0,3817.6,362,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",BETWEEN,131,0.00099945,buffered_hot,selective_closure,5705.9,1555698.0,5705.9,362,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",SUM,1310,0.00999451,memory_warm,selective_closure,16920.5,1534487.0,16920.5,656,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",SUM,1310,0.00999451,buffered_hot,selective_closure,18904.4,1539734.0,18904.4,656,351,351,2,1,351
0,"clickbench","hits","c1_CounterID_x1","Frame(Dictionary(BitPack))",BETWEEN,1310,0.00999451,memory_warm,selective_closure,18059.3,1549439.0,18059.3,656,351,351,2,1,351
